window_start_sec,window_end_sec,window_mid_sec,window_mid_min,role,ami,ami_share,influence_concentration_hhi,event_in_window
165,344,254.5,4.241666666666666,FOM,0.23232616328250874,0.16949198823735684,0.20235313516617875,False
180,359,269.5,4.491666666666666,FiST Leader,0.18644286206735902,0.1697289626328835,0.21135574924758146,False
180,359,269.5,4.491666666666666,FSO,0.30657305940444873,0.2790899408372482,0.21135574924758146,False
180,359,269.5,4.491666666666666,JTAC,0.2540123363041615,0.2312410883356011,0.21135574924758146,False
180,359,269.5,4.491666666666666,FOA,0.17429318176287448,0.15866845534644036,0.21135574924758146,False
180,359,269.5,4.491666666666666,FOM,0.17715261683435737,0.1612715528478268,0.21135574924758146,False
195,374,284.5,4.741666666666666,FiST Leader,0.06540481106543385,0.19574657198629256,0.2034817313080894,False
195,374,284.5,4.741666666666666,FSO,0.0840377290360701,0.2515120387683139,0.2034817313080894,False
195,374,284.5,4.741666666666666,JTAC,0.0595762009982428,0.17830243566800238,0.2034817313080894,False
195,374,284.5,4.741666666666666,FOA,0.06171427882848521,0.1847013748147134,0.2034817313080894,False
195,374,284.5,4.741666666666666,FOM,0.06339702588434,0.18973757876267777,0.2034817313080894,False
210,389,299.5,4.991666666666666,FiST Leader,0.1232750041672746,0.2597073297468743,0.20870389669419925,False
210,389,299.5,4.991666666666666,FSO,0.08791832362781964,0.18522029846553414,0.20870389669419925,False
210,389,299.5,4.991666666666666,JTAC,0.11128892976186032,0.23445588969213643,0.20870389669419925,False
210,389,299.5,4.991666666666666,FOA,0.06799323177833545,0.14324348058468384,0.20870389669419925,False
210,389,299.5,4.991666666666666,FOM,0.08419345546278519,0.17737300151077123,0.20870389669419925,False
225,404,314.5,5.241666666666666,FiST Leader,0.1652628347594857,0.2744070902234363,0.22073994257753796,False
225,404,314.5,5.241666666666666,FSO,0.12171443462663185,0.2020980935773744,0.22073994257753796,False
225,404,314.5,5.241666666666666,JTAC,0.1551265408611265,0.25757650082717964,0.22073994257753796,False
225,404,314.5,5.241666666666666,FOA,0.057161350464407935,0.09491232482492523,0.22073994257753796,False
225,404,314.5,5.241666666666666,FOM,0.10298908361170062,0.17100599054708424,0.22073994257753796,False
240,419,329.5,5.491666666666666,FiST Leader,0.186392085441599,0.26468697154513277,0.2220243511847706,False
240,419,329.5,5.491666666666666,FSO,0.1422408978685437,0.2019898666699653,0.2220243511847706,False
240,419,329.5,5.491666666666666,JTAC,0.19717039808889236,0.2799927659205735,0.2220243511847706,False
240,419,329.5,5.491666666666666,FOA,0.07620157505122817,0.10821041075587047,0.2220243511847706,False
240,419,329.5,5.491666666666666,FOM,0.10219323038726519,0.14511998510845792,0.2220243511847706,False
255,434,344.5,5.741666666666666,FiST Leader,0.21895719814265394,0.25572486179830084,0.22021213179659713,False
255,434,344.5,5.741666666666666,FSO,0.17665007406261066,0.20631345376866436,0.22021213179659713,False
255,434,344.5,5.741666666666666,JTAC,0.24133604810194095,0.2818616061555933,0.22021213179659713,False
255,434,344.5,5.741666666666666,FOA,0.10753359111664827,0.12559081391361177,0.22021213179659713,False
255,434,344.5,5.741666666666666,FOM,0.11174487555027761,0.1305092643638297,0.22021213179659713,False
270,449,359.5,5.991666666666666,FiST Leader,0.23571436289921963,0.23691688135378378,0.21057389223150233,False
270,449,359.5,5.991666666666666,FSO,0.2221860670719954,0.22331956968386354,0.21057389223150233,False
270,449,359.5,5.991666666666666,JTAC,0.24905182584154553,0.2503223865873301,0.21057389223150233,False
270,449,359.5,5.991666666666666,FOA,0.14059284331163024,0.1413100906044232,0.21057389223150233,False
270,449,359.5,5.991666666666666,FOM,0.14737920323982753,0.14813107177059937,0.21057389223150233,False
285,464,374.5,6.241666666666666,FiST Leader,0.24819930135530388,0.22223948325764178,0.20739741891192323,True
285,464,374.5,6.241666666666666,FSO,0.2416591746161034,0.21638340558529284,0.20739741891192323,True
285,464,374.5,6.241666666666666,JTAC,0.2781210871315063,0.24903167071641996,0.20739741891192323,True
285,464,374.5,6.241666666666666,FOA,0.158847030221983,0.14223280130433824,0.20739741891192323,True
285,464,374.5,6.241666666666666,FOM,0.18998351492921117,0.17011263913630717,0.20739741891192323,True
300,479,389.5,6.491666666666666,FiST Leader,0.23289511505818924,0.21929183734333363,0.20589101852363428,True
300,479,389.5,6.491666666666666,FSO,0.22055978322412484,0.20767700557043087,0.20589101852363428,True
300,479,389.5,6.491666666666666,JTAC,0.26191816107529503,0.24661966293899312,0.20589101852363428,True
300,479,389.5,6.491666666666666,FOA,0.1552615534261748,0.14619281006000995,0.20589101852363428,True
300,479,389.5,6.491666666666666,FOM,0.1913981462995271,0.18021868408723246,0.20589101852363428,True
315,494,404.5,6.741666666666666,FiST Leader,0.2195054578061323,0.21947249504475744,0.20673482907011942,True
315,494,404.5,6.741666666666666,FSO,0.20011223345964912,0.20008218294580019,0.20673482907011942,True
315,494,404.5,6.741666666666666,JTAC,0.2505282016163524,0.2504905802222874,0.20673482907011942,True
315,494,404.5,6.741666666666666,FOA,0.13898693264453374,0.1389660612131772,0.20673482907011942,True
315,494,404.5,6.741666666666666,FOM,0.19101736532694333,0.19098868057397791,0.20673482907011942,True
330,509,419.5,6.991666666666666,FiST Leader,0.1968991198135186,0.2203217110305743,0.2062092570470529,True
330,509,419.5,6.991666666666666,FSO,0.1738861993810956,0.19457123530328874,0.2062092570470529,True
330,509,419.5,6.991666666666666,JTAC,0.21961665164789382,0.2457416595244093,0.2062092570470529,True
330,509,419.5,6.991666666666666,FOA,0.12456438572144372,0.1393822309699155,0.2062092570470529,True
330,509,419.5,6.991666666666666,FOM,0.1787227805279198,0.19998316317181222,0.2062092570470529,True
345,524,434.5,7.241666666666666,FiST Leader,0.16360495239317457,0.21248608009752995,0.2027396852966626,True
345,524,434.5,7.241666666666666,FSO,0.1537970614953998,0.19974783311657027,0.2027396852966626,True
345,524,434.5,7.241666666666666,JTAC,0.18137424403930238,0.2355643981604311,0.2027396852966626,True
345,524,434.5,7.241666666666666,FOA,0.12835573500851463,0.16670526528104296,0.2027396852966626,True
345,524,434.5,7.241666666666666,FOM,0.14282410168439888,0.18549642334442581,0.2027396852966626,True
360,539,449.5,7.491666666666666,FiST Leader,0.08568632739356885,0.15783756199756446,0.20364850142600818,True
360,539,449.5,7.491666666666666,FSO,0.12819472865108567,0.2361396975072751,0.20364850142600818,True
360,539,449.5,7.491666666666666,JTAC,0.10011679576584442,0.1844190483985546,0.20364850142600818,True
360,539,449.5,7.491666666666666,FOA,0.11805323684955983,0.21745867347856565,0.20364850142600818,True
360,539,449.5,7.491666666666666,FOM,0.11082556445810732,0.2041450186180401,0.20364850142600818,True
375,554,464.5,7.741666666666666,FiST Leader,0.05426085044848259,0.14273134583004038,0.20900691053698986,True
375,554,464.5,7.741666666666666,FSO,0.0968395325026472,0.25473313981280044,0.20900691053698986,True
375,554,464.5,7.741666666666666,JTAC,0.06027409644967957,0.15854898760056216,0.20900691053698986,True
375,554,464.5,7.741666666666666,FOA,0.08621435128768366,0.22678395726285724,0.20900691053698986,True
375,554,464.5,7.741666666666666,FOM,0.08257188406504518,0.2172025694937398,0.20900691053698986,True
390,569,479.5,7.991666666666666,FiST Leader,0.06347659293353326,0.18446340053472554,0.20382120169734752,True
